review,real,predicted,tipo_error
"absolutely the best for saving documents, forms, notes or whatever it is that you may end up needing on the go.  you can have one or twenty different books to store and organize your information in.  edit word and excel documents without having to save them to your computer and save them again into your books.  tag one document in ten different locations so if you can use it in multiple different situations you don't have to worry about where you saved it.  just look it up under the tag that you need to use it for.  it's that easy!!",1,0,Falso Negativo
good need to use every nepali peoples,1,0,Falso Negativo
"#1 great game. challenging to the point where you don't want to give it up. great thing while you're bored, waiting or just want to play. can't stop playing. great job rovio.",1,0,Falso Negativo
i love viber viber is an excellent chatting software. only one tiny negative comment for you. sometimes it takes a delay to reach message even online.  stickers are so cool...,1,0,Falso Negativo
too many ads far more adverts than any other game i've played. i know it's free and they need the ads to make a profit but there needs to be a balance.,1,0,Falso Negativo
one of the best apps ever at first i was a bit skeptical but i got used to it and now i can't work without it. better even than onenote. at least for what i'm concerned.,1,0,Falso Negativo
one account for all devices,1,0,Falso Negativo
useful app very useful app in my opinion. note taking is great with voice recognition. being able to add pics brings a nice presentation aspect when sharing with a group. the functionality just needs to keep improving for the average person to be perfect.,1,0,Falso Negativo
pics are not loaded i  love using uc browser but the only erorr i  m facing that when i login fb pic are not loaded... plz fix dis issue,1,0,Falso Negativo
"almost, but not quite. this has so much potential, but i really would like a back function that works, i press back and wait, nothing happens. i press back again and it takes me to the homepage,  same for the back button on the tablet,  i'm using a 1st gen nexus 7.",1,0,Falso Negativo
the only and major problem is it can't provide real-time notification.  but i love the web/desktop notification very much !,1,0,Falso Negativo
"almost good enough i have tried lots of android browsers. the reason being that i like speed and simplicity and good bookmark management. that's all i need. i tried firefox (which i use on desktop) as a way of getting away from chrome, because i absolutely hate google and everything and everybody associated with it. seriously, i hate google. unfortunately, chrome is still hands down the best browser i've used on android. firefox started out fine, but became slower and glitchier as i used it, like everything except chrome. meh",1,0,Falso Negativo
its cool my brother doesnt bug m me anymore i show him angry birds and his mouth shuts but some levels are almost impossible and i have to wait for free power ups or buy them,1,0,Falso Negativo
